2024-06-27 14:08:17 configure libcrypt1:arm64 1:4.4.27-1 <none>
2024-06-27 14:08:17 status unpacked libcrypt1:arm64 1:4.4.27-1
2024-06-27 14:08:17 status half-configured libcrypt1:arm64 1:4.4.27-1
2024-06-27 14:08:17 status installed libcrypt1:arm64 1:4.4.27-1
2024-06-27 14:08:17 configure libgcc-s1:arm64 12-20220319-1ubuntu1 <none>
2024-06-27 14:08:17 status unpacked libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:17 status half-configured libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:17 status installed libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:17 configure libc6:arm64 2.35-0ubuntu3 <none>
2024-06-27 14:08:17 status unpacked libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:17 status half-configured libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:17 status installed libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:17 configure libudev1:arm64 249.11-0ubuntu3 <none>
2024-06-27 14:08:17 status unpacked libudev1:arm64 249.11-0ubuntu3
2024-06-27 14:08:17 status half-configured libudev1:arm64 249.11-0ubuntu3
2024-06-27 14:08:17 status installed libudev1:arm64 249.11-0ubuntu3
2024-06-27 14:08:17 configure libattr1:arm64 1:2.5.1-1build1 <none>
